2020-06-30 12:29:30,845 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 12:29:30,853 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is shutting down
2020-06-30 12:29:30,855 | INFO | AbstractLogger.java 403 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2020-06-30 12:29:30,862 | INFO | AbstractLogger.java 393 | Route: route1 shutdown complete, was consuming from: file://data/input2
2020-06-30 12:29:30,863 | INFO | AbstractLogger.java 393 | Graceful shutdown of 1 routes completed in 0 seconds
2020-06-30 12:29:30,873 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) uptime 5.098 seconds
2020-06-30 12:29:30,873 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) is shutdown in 0.021 seconds
2020-07-08 12:45:04,224 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-07-08 12:45:04,236 | INFO | AbstractLogger.java 382 | Testing: checkOutpoutDirectory(TestCamelProcessor)
2020-07-08 12:45:04,236 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-07-08 12:45:04,631 | INFO | AbstractLogger.java 386 | Detected and using LRUCacheFactory: camel-caffeine-lrucache
2020-07-08 12:45:06,166 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is starting
2020-07-08 12:45:06,168 | INFO | AbstractLogger.java 382 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-07-08 12:45:06,169 | INFO | AbstractLogger.java 386 | Using HealthCheck: camel-health
2020-07-08 12:45:06,184 | INFO | AbstractLogger.java 382 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-07-08 12:45:06,186 | INFO | AbstractLogger.java 386 | Using default memory based idempotent repository with cache max size: 1000
2020-07-08 12:45:06,217 | INFO | AbstractLogger.java 382 | Route: route1 started and consuming from: file://data/input2
2020-07-08 12:45:06,220 | INFO | AbstractLogger.java 393 | Total 1 routes, of which 1 are started
2020-07-08 12:45:06,223 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) started in 0.055 seconds
2020-07-08 12:45:07,278 | INFO | AbstractLogger.java 382 | read file Joy,Microsoft,23434456
Joy,Microsoft,23434456
Joy,Microsoft,23434456
Joy,Microsoft,23434456
Joy,Microsoft,23434456
Joy,Microsoft,23434456
Joy,Microsoft,23434456
Joy,Microsoft,23434456 along with headers {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input2\file1, CamelFileLastModified=1593500536827, CamelFileLength=190, CamelFileName=file1, CamelFileNameConsumed=file1, CamelFileNameOnly=file1, CamelFileParent=data\input2, CamelFilePath=data\input2\file1, CamelFileRelativePath=file1}
2020-07-08 12:45:07,283 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input2\file1, CamelFileLastModified=1593500536827, CamelFileLength=190, CamelFileName=file1, CamelFileNameConsumed=file1, CamelFileNameOnly=file1, CamelFileParent=data\input2, CamelFilePath=data\input2\file1, CamelFileRelativePath=file1}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1]]]
2020-07-08 12:45:11,224 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-07-08 12:45:11,224 | INFO | AbstractLogger.java 382 | Testing done: checkOutpoutDirectory(TestCamelProcessor)
2020-07-08 12:45:11,227 | INFO | AbstractLogger.java 382 | Took: 5.000 seconds (5000 millis)
2020-07-08 12:45:11,228 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-07-08 12:45:11,235 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is shutting down
2020-07-08 12:45:11,250 | INFO | AbstractLogger.java 403 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2020-07-08 12:45:11,258 | INFO | AbstractLogger.java 393 | Route: route1 shutdown complete, was consuming from: file://data/input2
2020-07-08 12:45:11,259 | INFO | AbstractLogger.java 393 | Graceful shutdown of 1 routes completed in 0 seconds
2020-07-08 12:45:11,271 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) uptime 5.105 seconds
2020-07-08 12:45:11,272 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) is shutdown in 0.037 seconds
2020-07-08 12:48:03,951 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-07-08 12:48:03,967 | INFO | AbstractLogger.java 382 | Testing: checkOutpoutDirectory(TestCamelProcessor)
2020-07-08 12:48:03,967 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-07-08 12:48:04,233 | INFO | AbstractLogger.java 386 | Detected and using LRUCacheFactory: camel-caffeine-lrucache
